,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
60,33,Mondragone zona Fiumarella,Fiumarella(Spiaggia libera),4.2,7,41.11944311,1.38711496,07/06/2025,Summer 2025,"102,18",117.0,True,,False,False,False,
61,31,Oasi dei Variconi,Oasi dei variconi,3.7,3,4.102103000000001e-07,1.392991304e-07,14/09/2024,Autumn 2024,0,645.0,True,15/09/2024,False,False,False,
62,31,Oasi dei Variconi,Oasi dei variconi,3.7,3,4.102103000000001e-07,1.392991304e-07,09/02/2025,Winter 2024-2025,0,707.0,True,09/02/2025,False,False,False,
63,31,Oasi dei Variconi,Oasi dei variconi,3.7,3,4.102103000000001e-07,1.392991304e-07,08/06/2025,Summer 2025,0,367.0,True,08/06/2025,False,False,False,
64,31,Oasi dei Variconi,Oasi dei variconi,3.7,3,4.102103000000001e-07,1.392991304e-07,14/09/2025,Autumn 2025,0,213.0,True,14/09/2025,False,False,False,
65,31,Oasi dei Variconi,Oasi dei variconi,3.7,3,4.102103000000001e-07,1.392991304e-07,14/12/2025,Winter 2025-2026,0,602.0,True,14/12/2025,False,False,False,
66,83,Oasi del Fratino e della Camomilla di mare,Oasi del Fratino e della Camomilla di mare,5.0,5,42.74993435,1.39741652,19/03/2025,Spring 2025,"180,17",460.0,True,19/03/2025,False,False,False,
67,83,Oasi del Fratino e della Camomilla di mare,Oasi del Fratino e della Camomilla di mare,5.0,5,42.74993435,1.39741652,12/12/2025,Winter 2025-2026,"180,17",443.0,True,12/12/2025,False,True,False,
68,24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.16945502,16.70136452,09/04/2025,Spring 2025,"848,68",61.0,True,09/04/2025,False,False,False,
69,24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.16945502,16.70136452,10/07/2025,Summer 2025,"848,68",91.0,True,10/07/2025,False,False,False,
70,24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.16945502,16.70136452,25/07/2025,Summer 2025,"848,68",67.0,True,25/07/2025,False,False,False,
71,34,oasi wwf dune di forte dei marmi ( LU ),Spiaggia libera Le Dune,4.0,1541,43.97447147,10.14483225,10/07/2025,Summer 2025,"144,38",14.0,False,25/05/2025,False,False,True,1.0
72,34,oasi wwf dune di forte dei marmi ( LU ),Spiaggia libera Le Dune,4.0,1541,43.97447147,10.14483225,17/11/2025,Autumn 2025,"144,38",281.0,True,14/11/2025,False,False,False,
73,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,23/05/2024,Spring 2024,"490,52",610.0,True,11/08/2023,False,True,False,
74,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,19/06/2024,Summer 2024,"430,72",532.0,True,23/05/2024,False,True,False,
75,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,25/06/2024,Summer 2024,"807,19",449.0,True,19/06/2024,False,True,False,
76,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,03/07/2024,Summer 2024,"760,25",483.0,True,25/06/2024,False,True,False,
77,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,01/08/2024,Summer 2024,"620,02",592.0,True,03/07/2024,False,True,False,
78,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,07/08/2024,Summer 2024,"826,71",537.0,True,01/08/2024,False,True,False,
79,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,29/04/2025,Spring 2025,"247,11",737.0,True,07/08/2024,False,True,False,0.0
80,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,18/05/2025,Spring 2025,"637,09",916.0,True,29/04/2025,False,True,False,
81,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,19/05/2025,Spring 2025,"309,83",560.0,True,18/05/2025,True,True,False,0.0
82,67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,4.23962697,11.37677193,06/06/2025,Summer 2025,"1494,26",780.0,True,04/06/2025,False,True,False,
83,106,Oasi ZSC ZPS Dune Alberoni,Alberoni Sand Dune Oasis,4.3,72,45.34678248,12.32945395,02/06/2025,Summer 2025,"1332,48",363.0,True,13/04/2025,True,False,False,
84,106,Oasi ZSC ZPS Dune Alberoni,Alberoni Sand Dune Oasis,4.3,72,45.34678248,12.32945395,20/09/2025,Autumn 2025,"1332,48",227.0,True,14/09/2025,True,False,False,
87,86,Plage de Eduard,Spiaggia Mendolido,3.9,29,38.03314178,13.97037685,15/06/2025,Summer 2025,"19,22",96.0,True,15/06/2025,False,False,False,
88,86,Plage de Eduard,Spiaggia Mendolido,3.9,29,38.03314178,13.97037685,12/12/2025,Winter 2025-2026,"19,22",84.0,True,12/12/2025,False,False,False,
89,26,Playa Catania,Spiaggia di Catania,3.6,2034,3.74425e-07,1.508585777e-07,16/11/2024,Autumn 2024,"25,87",541.0,True,16/11/2024,False,True,True,2.0
90,26,Playa Catania,Spiaggia di Catania,3.6,2034,3.74425e-07,1.508585777e-07,01/02/2025,Winter 2024-2025,"7,34",957.0,True,01/02/2025,True,True,True,3.0
91,26,Playa Catania,Spiaggia di Catania,3.6,2034,3.74425e-07,1.508585777e-07,18/10/2025,Autumn 2025,"7,34",3583.0,True,18/10/2025,True,True,False,
92,55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.10055917,12.33449933,15/05/2025,Spring 2025,"468,77",215.0,True,15/05/2025,True,True,False,
93,55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.10055917,12.33449933,22/07/2025,Summer 2025,"468,77",23.0,True,22/07/2025,False,False,False,
94,55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.10055917,12.33449933,07/09/2025,Autumn 2025,"468,77",27.0,True,07/09/2025,False,False,False,
95,55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.10055917,12.33449933,02/11/2025,Autumn 2025,"468,77",21.0,True,21/11/2025,False,False,True,1.0
