,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
145,135,Spiaggia delle Conchiglie,Spiaggia delle Conchiglie,4.4,404,40.71662069,17.79453099,29/08/2025,Summer 2025,"59,32",68.0,True,15/08/2025,False,False,False,0.0
146,130,SPIAGGIA DELLO SPIAZZO DEL CASTELLO ODESCALCHI- SANTA MARINELLA,Antemurale Porticciolo Santa Marinella,5.0,2,42.03397621,11.86920226,08/06/2025,Summer 2025,"120,52",275.0,True,08/06/2025,False,False,False,
147,80,Spiaggia del Muraglione,Spiaggia libera Viareggio,4.2,1328,4.385592e-07,1.023831e-07,23/02/2025,Winter 2024-2025,"439,42",148.0,True,,False,False,False,
148,80,Spiaggia del Muraglione,Spiaggia libera Viareggio,4.2,1328,4.385592e-07,1.023831e-07,08/06/2025,Summer 2025,"439,42",328.0,True,08/06/2025,False,False,False,
149,90,Spiaggia del Sarello,Spiaggia del Sarello,3.9,123,38.10767246,13.50486767,13/10/2025,Autumn 2025,"52,45",254.0,True,22/08/2024,False,True,True,1.0
150,90,Spiaggia del Sarello,Spiaggia del Sarello,3.9,123,38.10767246,13.50486767,25/12/2025,Winter 2025-2026,"52,45",339.0,True,13/10/2025,False,True,True,2.0
151,79,Spiaggia del Seggio Area Nord,Spiaggia Libera Dog Beach,4.5,52,4.319304000000001e-07,1.053628e-07,17/11/2024,Autumn 2024,"105,3",215.0,True,,False,False,False,
152,79,Spiaggia del Seggio Area Nord,Spiaggia Libera Dog Beach,4.5,52,4.319304000000001e-07,1.053628e-07,15/03/2025,Spring 2025,"105,3",114.0,True,15/03/2025,False,False,False,
153,79,Spiaggia del Seggio Area Nord,Spiaggia Libera Dog Beach,4.5,52,4.319304000000001e-07,1.053628e-07,15/11/2025,Autumn 2025,"105,3",60.0,True,,False,False,False,
154,132,Spiaggia di Briatico,Spiaggia Briatico,4.5,82,38.72621131,16.02392043,26/05/2025,Spring 2025,"101,9",105.0,True,26/05/2025,False,False,False,
