Beach_Code,Original_Beach_Name,API_Beach_Name,Match_Type,rating,user_ratings_total,API_lat,API_lng,Search_lat,Search_lng,types,vicinity
51,spiaggia di Sovereto,Spiaggia di Sovereto,good_match_130pts_0.52km,47,37,38.91853,17.05612,3891883338,1705012679,"tourist_attraction, point_of_interest, establishment","W394+9C, Isola di Capo Rizzuto"
111,spiaggia di sturla,Spiaggia Sturla,manually_corrected,38,1678,44.39222,8.98E+00,4439181987,8984821916,"natural_feature, establishment",Spiaggia Sturla
54,Spiaggia ecologica ex Nereo Noli,Bagni Tripodoro,manually_corrected,42,224,4.42E+01,8.42E+00,4421638461,8415575624,"tourist_attraction, point_of_interest, establishment","SS 1, 17026 Noli SV, Italy"
158,Spiaggia libera - Braccio Levante Barletta,Spiaggia della Litoranea di Levante,partial_match_34pts_0.12km,41,73,413206447,162981877,4132015533,1629944086,"natural_feature, establishment",Spiaggia della Litoranea di Levante
66,Spiaggia libera di Igea Marina,Bagno Spiaggia Libera,manually_corrected,42,281,4.41E+01,12.50162,441167876,1250289738,"tourist_attraction, point_of_interest, establishment","Via Alfonso Pinzon, 47814 Bellaria-Igea Marina RN, Italy"
82,Spiaggia Libera di Punta Vagno,Passeggiata di Corso Italia,closest_beach_14pts_0.63km,46,386,4.44E+20,8.96E+20,4439324932,8949779391,"tourist_attraction, point_of_interest, establishment","Corso Italia, 3930, Genova"
64,Spiaggia libera Marano - colonia Bolognese,Spiaggia Le Colonie,manually_corrected,47,7,44.02571,12.63178,4402347862,1263465285,"tourist_attraction, point_of_interest, establishment","47838 Riccione, Province of Rimini, Italy"
131,Spiaggia Lido La Duna,Lido La Duna Policoro,manually_corrected,43,211,40.18065,16.71126,401770107,167088747,"tourist_attraction, point_of_interest, establishment","Via Archia, 75025 Policoro MT, Italy"
151,Spiaggia Lido San Giuliano di Rimini e zona darsena,Spiaggia libera di San Giuliano,manually_corrected,39,26,44.07647096,12.56956568,4407638506,1256713629,"tourist_attraction, point_of_interest, establishment","Viale Ortigara, 78, 47921 Rimini RN, Italy"
147,SPIAGGIA  LUNGOMARE AMERIGO VESPUCCI LIDO DI CASTELFUSANO,Spiaggia libera Bianca- L’Amanusa,manually_corrected,41,393,41.70456,12.3397,4170291379,1233860725,"natural_feature, establishment","Lungomare Amerigo Vespucci, 144, 00122 Lido di Ostia RM, Italy"
118,Spiaggia nel Parco delle Dune Costiere,Lido Morelli,closest_beach_13pts_0.19km,41,3147,408110613,175241777,4081025258,1752622962,"tourist_attraction, point_of_interest, establishment","Contrada Fiume Morelli, 1, Ostuni"
44,Spiaggia No Plastic Beach della contrada foggia,Bertolino Spiaggia Giache Bianche,manually_corrected,46,814,37.54654651,12.98561104,37.55056,12.97142,,
104,Spiaggia Ombelico di Venere,Spiaggia - Ombelico di Venere,good_match_148pts_0.72km,44,564,380263486,135953581,380295527,1358817977,"tourist_attraction, point_of_interest, establishment","Via Consolare, Altavilla Milicia"
145,Spiaggia Sabbie Nere Santa Severa,Sabbie Nere Santa Severa,partial_match_33pts_0.71km,45,11806,420159584,119569431,4201371519,1196492672,"tourist_attraction, point_of_interest, establishment","600, SS1 Km 52, Santa Severa"
91,Spiaggia Salinelle,Spiaggia Salinelle,good_match_113pts_0.23km,42,907,380214325,139341154,380202957,1393190002,"tourist_attraction, point_of_interest, establishment","Via del Mare, Piane Vecchie"
74,Spiaggia Sa Pischeredda Scivu,Spiaggia di Scivu,weak_match_28pts_0.70km,47,2026,39493255,8410364,3948803885,8405849934,"natural_feature, establishment",Spiaggia di Scivu
99,Strongoli marina,Lungomare Di Strongoli Marina,manually_corrected,42,432,39.25338796,17.10586916,39.2538,17.10645,,"Via Latinette Auree, 88815 Tronca KR, Italy"
120,Tombolo della Feniglia,Feniglia,good_match_88pts_0.19km,44,3158,4.24E+19,1.12E+20,4241862,1124465,"natural_feature, establishment",Feniglia
169,Tordigliano,Spiaggia di Tordigliano,good_match_113pts_0.18km,46,734,406198228,144567086,4062143061,1445689201,"natural_feature, establishment","Spiaggia di Tordigliano, SS163, Vico Equense"
30,trabucco,Spiaggia libera Le Dune,manually_corrected,4,1541,43.97623856,10.14614498,43.98257,10.13512,,"Viale Italico, 89, 55042 Forte dei Marmi LU, Italy"
87,Vergine Maria,Spiaggia Vergine Maria,good_match_134pts_0.10km,4,2494,3.82E+01,133678508,3816625971,1336852026,"tourist_attraction, point_of_interest, establishment","Via Nostra Donna del Rotolo, Palermo"
141,Wild Beach,Spiaggia degli Sciali,manually_corrected,37,126,41.55536,15.89713,41.58052,15.89431,,"Mafredonia, 71043 La Bussola FG, Italy"
