Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti,next_season_trash
40,Aciddara,Spiaggia Aciddara,3.5,357,38.080366,13.537345,12/05/2025,Spring 2025,"149,53",1794.0,True,,False,False,True,2.0,236.0
40,Aciddara,Spiaggia Aciddara,3.5,357,38.080366,13.537345,13/07/2025,Summer 2025,"149,53",236.0,True,12/04/2024,False,False,False,,552.0
40,Aciddara,Spiaggia Aciddara,3.5,357,38.080366,13.537345,30/12/2025,Winter 2025-2026,"149,53",552.0,False,13/07/2025,False,True,False,0.0,
149,Bagni della Regina Giovanna - Sorrento (Na),Capo di Sorrento,4.7,153,40.633559,14.351224,14/12/2025,Winter 2025-2026,"9,39",738.0,True,,False,False,True,1.0,
123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,4.4,279,38.934628,16.931957,09/07/2025,Summer 2025,"35,21",418.0,True,18/07/2025,False,False,False,,181.0
123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,4.4,279,38.934628,16.931957,05/09/2025,Autumn 2025,"35,21",181.0,True,,False,True,False,,
105,Cala Santa Maria,Torre Cala Santa Maria,4.0,9,38.708912,13.195334,08/06/2025,Summer 2025,"70,84",138.0,True,14/03/2025,True,False,False,,
142,Caletta Caretta,Punta Penna Grossa Beach,4.4,1788,40.722365,17.771874,07/07/2025,Summer 2025,"105,97",159.0,True,,False,True,False,,65.0
142,Caletta Caretta,Punta Penna Grossa Beach,4.4,1788,40.722365,17.771874,02/08/2025,Summer 2025,"105,97",65.0,True,,False,True,False,,
102,Caletta di Sant'Elia,Sant'Elia,4.6,1065,38.096542,13.538822,22/05/2025,Spring 2025,"18,38",242.0,True,22/05/2025,False,False,False,,418.0
102,Caletta di Sant'Elia,Sant'Elia,4.6,1065,38.096542,13.538822,30/12/2025,Winter 2025-2026,"12,77",418.0,False,22/05/2025,False,False,False,,
46,Capo Arena- budda beach,Buddha Beach,4.3,487,39.875178,15.783663,26/10/2025,Autumn 2025,"331,06",2375.0,True,26/10/2025,False,True,False,,
144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.016921,11.95644,11/10/2025,Autumn 2025,"137,32",186.0,True,,False,False,False,,220.0
144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.016921,11.95644,16/11/2025,Autumn 2025,"137,32",220.0,True,11/10/2025,False,False,False,,135.0
144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.016921,11.95644,08/12/2025,Winter 2025-2026,"137,32",135.0,True,16/11/2025,False,False,False,,
100,Caulonia,Spiaggia Rocco dei Matti,4.2,5,38.337584,16.460348,30/05/2025,Spring 2025,"101,21",216.0,True,29/04/2023,False,True,False,,208.0
100,Caulonia,Spiaggia Rocco dei Matti,4.2,5,38.337584,16.460348,11/10/2025,Autumn 2025,"101,21",208.0,True,11/10/2025,False,False,False,,
97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.573281,12.938365,11/05/2025,Spring 2025,"800,75",28.0,True,11/05/2025,False,False,False,,111.0
97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.573281,12.938365,21/09/2025,Autumn 2025,"800,75",111.0,True,21/09/2025,False,False,False,,85.0
97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.573281,12.938365,30/11/2025,Autumn 2025,"800,75",85.0,True,30/11/2025,False,False,False,,
94,Club Adriatico - Polignano a Mare,Spiaggia libera,5.0,9,41.020051,17.185052,06/07/2025,Summer 2025,"165,19",980.0,True,06/07/2025,False,False,False,,
61,"da Marinella di Selinunte alla Foce del Fiume Belice, sponda destra e sinistra verso Menfi",Spiaggia La PINETA,4.4,421,37.581258,12.858647,15/09/2024,Autumn 2024,"2520,99",1148.0,True,15/09/2025,False,False,False,,
36,Favignana,Spiaggia Praia,3.9,1677,37.929387,12.325394,05/05/2025,Spring 2025,"109,74",203.0,True,05/05/2024,False,True,False,,230.0
36,Favignana,Spiaggia Praia,3.9,1677,37.929387,12.325394,18/11/2025,Autumn 2025,"109,74",230.0,True,,False,False,False,,
154,Foce del Savuto,Fiume Savuto,4.3,11,39.038504,16.097867,06/08/2025,Summer 2025,"1294,79",101.0,True,,False,False,False,0.0,50.0
154,Foce del Savuto,Fiume Savuto,4.3,11,39.038504,16.097867,11/11/2025,Autumn 2025,"1294,79",50.0,True,08/08/2025,False,False,False,0.0,
27,Fungitedda,Spiaggia Funcitedda,4.7,45,37.360286,13.345938,10/12/2025,Winter 2025-2026,"74,59",134.0,False,15/09/2025,False,False,False,,
134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,4.4,122,38.928175,16.214431,16/06/2025,Summer 2025,"108,1",200.0,True,16/06/2025,False,False,False,,179.0
134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,4.4,122,38.928175,16.214431,08/11/2025,Autumn 2025,"108,1",179.0,True,16/06/2025,True,False,False,,
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,17/02/2025,Winter 2024-2025,"221,25",687.0,True,,False,True,True,0.0,1107.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,04/04/2025,Spring 2025,"221,25",1107.0,True,,False,True,True,1.0,721.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,28/04/2025,Spring 2025,"182,02",721.0,True,04/04/2025,False,True,True,6.0,1002.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,18/05/2025,Spring 2025,"259,72",1002.0,True,28/04/2025,False,True,True,2.0,375.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,20/05/2025,Spring 2025,"206,64",375.0,True,18/05/2025,False,True,True,2.0,645.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,19/10/2025,Autumn 2025,"223,5",645.0,True,,False,False,False,,406.0
63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.661033,17.968869,28/12/2025,Winter 2025-2026,"158,55",406.0,True,,False,False,False,,
167,l'amanusa spiaggia libera,Spiaggia Libera,4.0,192,41.703075,12.338332,29/11/2025,Autumn 2025,"53,47",238.0,True,29/11/2025,True,False,False,,
35,Levanzo,Spiaggia di Cala Minnola,4.6,485,37.98983,12.345388,04/05/2025,Spring 2025,"29,22",255.0,True,,False,False,True,1.0,
109,Lido azzurro e ske torre a mare bari,Torre a Mare,4.4,1124,41.08838,17.003773,08/06/2025,Summer 2025,"18,46",949.0,True,08/06/2025,True,True,False,,
150,Lido di Ostia,pontile di ostia,4.7,3,41.723566,12.29062,15/09/2025,Autumn 2025,"368,71",127.0,True,14/09/2025,False,False,False,,266.0
150,Lido di Ostia,pontile di ostia,4.7,3,41.723566,12.29062,16/11/2025,Autumn 2025,"368,71",266.0,True,15/09/2025,False,False,False,,100.0
150,Lido di Ostia,pontile di ostia,4.7,3,41.723566,12.29062,08/12/2025,Winter 2025-2026,"368,71",100.0,False,16/11/2025,False,False,False,,
95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.566086,12.955263,11/05/2025,Spring 2025,"2203,46",54.0,True,11/05/2025,False,False,False,,114.0
95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.566086,12.955263,03/08/2025,Summer 2025,"2203,46",114.0,True,03/08/2025,False,False,False,0.0,87.0
95,Lido Fiori,Spiaggia Lido Fiori,4.5,260,37.566086,12.955263,30/11/2025,Autumn 2025,"2203,46",87.0,False,,False,False,False,0.0,
168,Lungomare di Sabaudia,Spiaggia Libera-Lungomare di Sabaudia,4.1,562,41.31036,13.001345,06/12/2025,Winter 2025-2026,"1206,96",5594.0,True,06/12/2025,False,False,False,,
171,Marina della Lobra - Miglio Blu - Massa Lubrense (Na),Spiaggia di San Montano,4.3,307,40.614602,14.338982,06/11/2025,Autumn 2025,"218,47",752.0,True,06/11/2025,False,False,False,0.0,533.0
171,Marina della Lobra - Miglio Blu - Massa Lubrense (Na),Spiaggia di San Montano,4.3,307,40.614602,14.338982,13/12/2025,Winter 2025-2026,"218,47",533.0,True,,False,False,False,0.0,
125,Marina di Pisa,Spiaggia Marina di Pisa,4.4,478,43.0,10.0,08/06/2025,Summer 2025,0,331.0,True,08/06/2025,False,False,False,0.0,35.0
125,Marina di Pisa,Spiaggia Marina di Pisa,4.4,478,43.0,10.0,14/12/2025,Winter 2025-2026,"2805,53",35.0,True,13/12/2025,False,False,False,,
110,Marinella di San Terenzo,Spiaggia della Marinella di San Terenzo,4.5,18,44.083052,9.894803,08/06/2025,Summer 2025,"3,04",189.0,True,08/06/2025,False,False,False,,
143,Mondragone Spiaggia Lungomare Sinope,Spiaggia di Mondragone,4.1,704,41.1107,13.8876,27/09/2025,Autumn 2025,"92,03",307.0,True,,False,False,False,,390.0
143,Mondragone Spiaggia Lungomare Sinope,Spiaggia di Mondragone,4.1,704,41.1107,13.8876,13/12/2025,Winter 2025-2026,"92,03",390.0,True,,False,False,False,,
33,Mondragone zona Fiumarella,Fiumarella(Spiaggia libera),4.2,7,41.119443,13.87115,20/09/2024,Autumn 2024,"102,18",1312.0,True,,False,False,False,,117.0
33,Mondragone zona Fiumarella,Fiumarella(Spiaggia libera),4.2,7,41.119443,13.87115,07/06/2025,Summer 2025,"102,18",117.0,True,,False,False,False,,
31,Oasi dei Variconi,Oasi dei variconi,3.7,3,41.02103,13.929913,14/09/2024,Autumn 2024,0,645.0,True,15/09/2024,False,False,False,,707.0
31,Oasi dei Variconi,Oasi dei variconi,3.7,3,41.02103,13.929913,09/02/2025,Winter 2024-2025,0,707.0,True,09/02/2025,False,False,False,,367.0
31,Oasi dei Variconi,Oasi dei variconi,3.7,3,41.02103,13.929913,08/06/2025,Summer 2025,0,367.0,True,08/06/2025,False,False,False,,213.0
31,Oasi dei Variconi,Oasi dei variconi,3.7,3,41.02103,13.929913,14/09/2025,Autumn 2025,0,213.0,True,14/09/2025,False,False,False,,602.0
31,Oasi dei Variconi,Oasi dei variconi,3.7,3,41.02103,13.929913,14/12/2025,Winter 2025-2026,0,602.0,True,14/12/2025,False,False,False,,
83,Oasi del Fratino e della Camomilla di mare,Oasi del Fratino e della Camomilla di mare,5.0,5,42.749934,13.974165,19/03/2025,Spring 2025,"180,17",460.0,True,19/03/2025,False,False,False,,443.0
83,Oasi del Fratino e della Camomilla di mare,Oasi del Fratino e della Camomilla di mare,5.0,5,42.749934,13.974165,12/12/2025,Winter 2025-2026,"180,17",443.0,True,12/12/2025,False,True,False,,
24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.169455,16.701365,09/04/2025,Spring 2025,"848,68",61.0,True,09/04/2025,False,False,False,,91.0
24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.169455,16.701365,10/07/2025,Summer 2025,"848,68",91.0,True,10/07/2025,False,False,False,,67.0
24,Oasi WWF Bosco Pantano,Oasis of Bosco Pantano,4.5,466,40.169455,16.701365,25/07/2025,Summer 2025,"848,68",67.0,True,25/07/2025,False,False,False,,
34,oasi wwf dune di forte dei marmi ( LU ),Spiaggia libera Le Dune,4.0,1541,43.974471,10.144832,10/07/2025,Summer 2025,"144,38",14.0,False,25/05/2025,False,False,True,1.0,281.0
34,oasi wwf dune di forte dei marmi ( LU ),Spiaggia libera Le Dune,4.0,1541,43.974471,10.144832,17/11/2025,Autumn 2025,"144,38",281.0,True,14/11/2025,False,False,False,,
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,23/05/2024,Spring 2024,"490,52",610.0,True,11/08/2023,False,True,False,,532.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,19/06/2024,Summer 2024,"430,72",532.0,True,23/05/2024,False,True,False,,449.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,25/06/2024,Summer 2024,"807,19",449.0,True,19/06/2024,False,True,False,,483.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,03/07/2024,Summer 2024,"760,25",483.0,True,25/06/2024,False,True,False,,592.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,01/08/2024,Summer 2024,"620,02",592.0,True,03/07/2024,False,True,False,,537.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,07/08/2024,Summer 2024,"826,71",537.0,True,01/08/2024,False,True,False,,737.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,29/04/2025,Spring 2025,"247,11",737.0,True,07/08/2024,False,True,False,0.0,916.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,18/05/2025,Spring 2025,"637,09",916.0,True,29/04/2025,False,True,False,,560.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,19/05/2025,Spring 2025,"309,83",560.0,True,18/05/2025,True,True,False,0.0,780.0
67,Oasi WWF Lago di Burano,Spiaggia Lago di Burano,4.4,11,42.39627,11.376772,06/06/2025,Summer 2025,"1494,26",780.0,True,04/06/2025,False,True,False,,
106,Oasi ZSC ZPS Dune Alberoni,Alberoni Sand Dune Oasis,4.3,72,45.346782,12.329454,02/06/2025,Summer 2025,"1332,48",363.0,True,13/04/2025,True,False,False,,227.0
106,Oasi ZSC ZPS Dune Alberoni,Alberoni Sand Dune Oasis,4.3,72,45.346782,12.329454,20/09/2025,Autumn 2025,"1332,48",227.0,True,14/09/2025,True,False,False,,
86,Plage de Eduard,Spiaggia Mendolido,3.9,29,38.033142,13.970377,15/06/2025,Summer 2025,"19,22",96.0,True,15/06/2025,False,False,False,,84.0
86,Plage de Eduard,Spiaggia Mendolido,3.9,29,38.033142,13.970377,12/12/2025,Winter 2025-2026,"19,22",84.0,True,12/12/2025,False,False,False,,
26,Playa Catania,Spiaggia di Catania,3.6,2034,37.4425,15.085858,16/11/2024,Autumn 2024,"25,87",541.0,True,16/11/2024,False,True,True,2.0,957.0
26,Playa Catania,Spiaggia di Catania,3.6,2034,37.4425,15.085858,01/02/2025,Winter 2024-2025,"7,34",957.0,True,01/02/2025,True,True,True,3.0,3583.0
26,Playa Catania,Spiaggia di Catania,3.6,2034,37.4425,15.085858,18/10/2025,Autumn 2025,"7,34",3583.0,True,18/10/2025,True,True,False,,
55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.100559,12.334499,15/05/2025,Spring 2025,"468,77",215.0,True,15/05/2025,True,True,False,,23.0
55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.100559,12.334499,22/07/2025,Summer 2025,"468,77",23.0,True,22/07/2025,False,False,False,,27.0
55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.100559,12.334499,07/09/2025,Autumn 2025,"468,77",27.0,True,07/09/2025,False,False,False,,21.0
55,Porto Caleri,Spiaggia di porto caleri,4.5,545,45.100559,12.334499,02/11/2025,Autumn 2025,"468,77",21.0,True,21/11/2025,False,False,True,1.0,
170,Porto Empedocle,Spiaggia Porto Empedocle,4.1,184,37.285965,13.5227,12/12/2025,Winter 2025-2026,"107,53",161.0,False,,False,False,False,,
